estatus,id,fecha
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",943,27/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",944,27/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",945,27/10/2022
CON CONTACTO SIN DOCUMENTOS,946,02/11/2022
CON CONTACTO SIN DOCUMENTOS,947,02/11/2022
SIN CONTACTO,948,07/11/2022
SIN CONTACTO,949,03/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",950,02/11/2022
CON CONTACTO SIN DOCUMENTOS,951,07/11/2022
CON CONTACTO SIN COOPERACION DEL CLIENTE,952,28/10/2022
CON CONTACTO SIN DOCUMENTOS,953,07/11/2022
DE 7 A 10 DOCUMENTOS,954,07/11/2022
CON CONTACTO SIN DOCUMENTOS,955,07/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",956,27/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",957,27/10/2022
CON CONTACTO SIN DOCUMENTOS,958,07/11/2022
CON CONTACTO SIN DOCUMENTOS,959,02/11/2022
DE 7 A 10 DOCUMENTOS,960,07/11/2022
SIN CONTACTO,961,07/11/2022
SIN CONTACTO,962,02/11/2022
CON CONTACTO SIN DOCUMENTOS,963,07/11/2022
DE 4 A 6 DOCUMENTOS,964,07/11/2022
CON CONTACTO SIN DOCUMENTOS,965,07/11/2022
SIN CONTACTO,966,07/11/2022
CON CONTACTO SIN DOCUMENTOS,967,07/11/2022
SIN CONTACTO,968,07/11/2022
SIN CONTACTO,969,07/11/2022
TERMINADO POR PROCESO COMPLETO,970,27/10/2022
CON CONTACTO SIN DOCUMENTOS,971,07/11/2022
DATOS INCORRECTOS,972,28/10/2022
SIN CONTACTO,973,07/11/2022
CON CONTACTO SIN DOCUMENTOS,974,07/11/2022
CON CONTACTO SIN DOCUMENTOS,975,02/11/2022
CON CONTACTO SIN DOCUMENTOS,976,03/11/2022
TERMINADO POR PROCESO COMPLETO,977,27/10/2022
CON CONTACTO SIN DOCUMENTOS,978,02/11/2022
TERMINADO POR PROCESO COMPLETO,979,27/10/2022
CON CONTACTO SIN DOCUMENTOS,980,03/11/2022
DATOS INCORRECTOS,981,28/10/2022
CON CONTACTO SIN DOCUMENTOS,982,03/11/2022
CON CONTACTO SIN DOCUMENTOS,983,02/11/2022
TERMINADO POR PROCESO COMPLETO,984,27/10/2022
CON CONTACTO SIN DOCUMENTOS,985,03/11/2022
CON CONTACTO SIN DOCUMENTOS,986,07/11/2022
TERMINADO POR PROCESO COMPLETO,987,27/10/2022
CON CONTACTO SIN DOCUMENTOS,988,02/11/2022
CON CONTACTO SIN DOCUMENTOS,989,02/11/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",990,01/11/2022
DATOS INCORRECTOS,992,29/10/2022
"CONCLUIDO POR OTRAS VIAS (BARRA, OFICINA, BROKER)",993,29/10/2022
